RSLT0110 (Chromatogram RI)	
X:	Y:
0.00000	0.008
0.00167	0.006
0.00333	-0.006
0.00500	0.003
0.00667	0.009
0.00833	0.003
0.01000	-0.012
0.01167	-0.007
0.01333	-0.001
0.01500	-0.006
0.01667	-0.024
0.01833	-0.025
0.02000	-0.022
0.02167	-0.031
0.02333	-0.046
0.02500	-0.043
0.02667	-0.033
0.02833	-0.034
0.03000	-0.045
0.03167	-0.040
0.03333	-0.034
0.03500	-0.034
0.03667	-0.043
0.03833	-0.034
0.04000	-0.024
0.04167	-0.023
0.04333	-0.034
0.04500	-0.029
0.04667	-0.019
0.04833	-0.025
0.05000	-0.037
0.05167	-0.032
0.05333	-0.017
0.05500	-0.017
0.05667	-0.032
0.05833	-0.029
0.06000	-0.016
0.06167	-0.018
0.06333	-0.030
0.06500	-0.032
0.06667	-0.024
0.06833	-0.025
0.07000	-0.039
0.07167	-0.034
0.07333	-0.019
0.07500	-0.014
0.07667	-0.031
0.07833	-0.033
0.08000	-0.024
0.08167	-0.025
0.08333	-0.040
0.08500	-0.041
0.08667	-0.027
0.08833	-0.026
0.09000	-0.040
0.09167	-0.042
0.09333	-0.027
0.09500	-0.025
0.09667	-0.037
0.09833	-0.040
0.10000	-0.028
0.10167	-0.024
0.10333	-0.036
0.10500	-0.040
0.10667	-0.026
0.10833	-0.024
0.11000	-0.034
0.11167	-0.038
0.11333	-0.023
0.11500	-0.019
0.11667	-0.029
0.11833	-0.034
0.12000	-0.021
0.12167	-0.019
0.12333	-0.029
0.12500	-0.037
0.12667	-0.027
0.12833	-0.026
0.13000	-0.038
0.13167	-0.045
0.13333	-0.032
0.13500	-0.026
0.13667	-0.035
0.13833	-0.039
0.14000	-0.026
0.14167	-0.019
0.14333	-0.028
0.14500	-0.037
0.14667	-0.025
0.14833	-0.019
0.15000	-0.030
0.15167	-0.038
0.15333	-0.025
0.15500	-0.018
0.15667	-0.024
0.15833	-0.032
0.16000	-0.022
0.16167	-0.019
0.16333	-0.027
0.16500	-0.037
0.16667	-0.025
0.16833	-0.019
0.17000	-0.026
0.17167	-0.036
0.17333	-0.023
0.17500	-0.016
0.17667	-0.020
0.17833	-0.028
0.18000	-0.017
0.18167	-0.011
0.18333	-0.019
0.18500	-0.035
0.18667	-0.023
0.18833	-0.017
0.19000	-0.021
0.19167	-0.032
0.19333	-0.023
0.19500	-0.015
0.19667	-0.018
0.19833	-0.031
0.20000	-0.019
0.20167	-0.012
0.20333	-0.015
0.20500	-0.027
0.20667	-0.017
0.20833	-0.009
0.21000	-0.017
0.21167	-0.030
0.21333	-0.019
0.21500	-0.009
0.21667	-0.014
0.21833	-0.029
0.22000	-0.022
0.22167	-0.012
0.22333	-0.014
0.22500	-0.027
0.22667	-0.019
0.22833	-0.011
0.23000	-0.015
0.23167	-0.030
0.23333	-0.023
0.23500	-0.014
0.23667	-0.012
0.23833	-0.021
0.24000	-0.014
0.24167	-0.006
0.24333	-0.008
0.24500	-0.024
0.24667	-0.016
0.24833	-0.004
0.25000	-0.003
0.25167	-0.015
0.25333	-0.010
0.25500	0.002
0.25667	0.000
0.25833	-0.016
0.26000	-0.014
0.26167	-0.001
0.26333	-0.003
0.26500	-0.016
0.26667	-0.011
0.26833	-0.005
0.27000	-0.010
0.27167	-0.024
0.27333	-0.019
0.27500	-0.006
0.27667	-0.009
0.27833	-0.023
0.28000	-0.017
0.28167	-0.002
0.28333	-0.003
0.28500	-0.019
0.28667	-0.019
0.28833	-0.008
0.29000	-0.007
0.29167	-0.019
0.29333	-0.018
0.29500	-0.003
0.29667	-0.003
0.29833	-0.019
0.30000	-0.022
0.30167	-0.009
0.30333	-0.010
0.30500	-0.022
0.30667	-0.025
0.30833	-0.015
0.31000	-0.011
0.31167	-0.021
0.31333	-0.021
0.31500	-0.004
0.31667	-0.001
0.31833	-0.019
0.32000	-0.028
0.32167	-0.013
0.32333	-0.004
0.32500	-0.012
0.32667	-0.015
0.32833	0.001
0.33000	0.006
0.33167	-0.006
0.33333	-0.013
0.33500	-0.001
0.33667	0.001
0.33833	-0.008
0.34000	-0.012
0.34167	0.000
0.34333	0.005
0.34500	-0.005
0.34667	-0.014
0.34833	-0.003
0.35000	0.000
0.35167	-0.008
0.35333	-0.020
0.35500	-0.009
0.35667	-0.003
0.35833	-0.012
0.36000	-0.020
0.36167	-0.003
0.36333	0.002
0.36500	-0.009
0.36667	-0.020
0.36833	-0.008
0.37000	-0.004
0.37167	-0.013
0.37333	-0.023
0.37500	-0.005
0.37667	0.001
0.37833	-0.007
0.38000	-0.016
0.38167	-0.001
0.38333	0.004
